GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0.3200000000000003,0.4642857142857144,2,3.0,2.5,8.26,0,0.73
1.0,0.7142857142857144,4,5.0,4.5,9.66,1,0.94
0.41999999999999993,0.4285714285714284,2,2.0,2.0,8.3,0,0.42
0.6200000000000001,0.6071428571428572,4,4.0,4.0,8.68,1,0.69
0.6400000000000006,0.6428571428571428,5,4.5,4.0,8.97,0,0.78
0.3200000000000003,0.3928571428571428,2,2.5,3.0,8.36,0,0.69
0.6200000000000001,0.6071428571428572,3,3.0,4.0,8.2,1,0.75
0.5800000000000001,0.5714285714285712,3,3.0,3.5,8.54,1,0.71
0.6400000000000006,0.6428571428571428,3,3.5,3.0,8.96,1,0.78
0.8799999999999999,0.7857142857142856,4,4.0,4.0,9.43,1,0.93
0.7000000000000002,0.5,3,3.5,4.0,8.4,1,0.52
0.6400000000000006,0.7857142857142856,5,4.5,4.0,8.94,1,0.86
0.54,0.4285714285714284,2,4.5,4.0,8.47,0,0.57
1.0,1.0,4,5.0,5.0,9.5,1,0.96
0.16000000000000014,0.3214285714285712,2,1.5,2.0,7.86,0,0.54
0.4400000000000004,0.3928571428571428,3,3.5,4.0,8.78,0,0.67
0.28000000000000025,0.3214285714285712,2,2.0,2.5,7.66,0,0.38
0.3000000000000007,0.5,2,3.0,3.0,8.16,0,0.64
0.9199999999999999,0.9285714285714288,5,4.5,4.0,9.19,1,0.92
0.0600000000000005,0.17857142857142838,2,2.0,4.0,7.8,1,0.64
0.20000000000000018,0.3571428571428572,3,3.5,2.5,8.17,0,0.63
0.5200000000000005,0.6071428571428572,4,4.5,3.5,8.76,1,0.74
0.0,0.2857142857142856,1,1.5,2.0,7.56,0,0.47
0.54,0.4642857142857144,3,3.5,3.0,8.56,0,0.68
0.7200000000000006,0.7857142857142856,3,3.0,3.0,9.11,1,0.83
0.5600000000000005,0.7142857142857144,3,4.0,3.5,8.67,0,0.71
0.16000000000000014,0.2142857142857144,2,4.0,3.0,8.03,0,0.34
0.7600000000000007,0.8214285714285712,4,4.5,4.0,9.16,1,0.78
0.3600000000000003,0.5714285714285712,3,3.5,3.5,8.22,0,0.61
0.3200000000000003,0.2857142857142856,2,3.0,3.0,8.0,0,0.48
1.0,1.0,4,4.5,4.0,9.92,1,0.97
0.1800000000000006,0.2857142857142856,3,2.0,2.0,8.02,0,0.63
0.8200000000000003,1.0,3,4.0,4.0,8.96,1,0.86
0.40000000000000036,0.4285714285714284,3,2.0,3.5,8.37,0,0.7
0.5600000000000005,0.6071428571428572,3,3.5,4.0,9.22,1,0.68
0.8799999999999999,0.9642857142857144,5,5.0,4.5,9.7,1,0.95
0.20000000000000018,0.4642857142857144,1,1.0,2.0,7.8,0,0.58
0.7000000000000002,0.7142857142857144,2,3.0,3.5,8.96,1,0.8
0.40000000000000036,0.5,4,1.5,2.5,8.36,0,0.57
0.1800000000000006,0.2857142857142856,2,3.0,3.5,7.88,0,0.68
0.5200000000000005,0.5357142857142856,2,3.5,3.5,8.64,1,0.57
0.41999999999999993,0.4285714285714284,3,4.5,4.5,8.43,0,0.7
0.5,0.4285714285714284,3,3.0,2.5,8.33,0,0.67
0.4400000000000004,0.4285714285714284,3,3.5,3.5,8.42,0,0.74
0.20000000000000018,0.25,1,1.0,2.5,8.01,0,0.58
0.34000000000000075,0.5357142857142856,2,3.0,3.5,8.52,1,0.78
0.20000000000000018,0.2857142857142856,3,2.0,3.0,8.66,1,0.64
0.5,0.4642857142857144,3,2.0,2.5,8.48,0,0.75
0.6800000000000006,0.6428571428571428,3,3.5,3.0,9.22,1,0.89
0.5,0.5,3,4.5,3.5,8.42,0,0.72
0.5800000000000001,0.6428571428571428,3,3.0,2.5,8.79,0,0.72
0.4400000000000004,0.5357142857142856,3,3.0,3.0,8.46,1,0.75
0.8400000000000007,0.9285714285714288,5,5.0,5.0,9.47,1,0.94
0.14000000000000057,0.2142857142857144,2,2.5,3.0,7.67,0,0.59
0.4400000000000004,0.5357142857142856,4,4.5,4.0,8.65,1,0.73
0.6400000000000006,0.4642857142857144,2,3.0,3.0,8.45,1,0.65
0.4800000000000004,0.6428571428571428,3,4.0,4.0,8.8,0,0.75
0.8799999999999999,1.0,5,4.0,5.0,9.87,1,0.97
0.6200000000000001,0.6785714285714284,3,2.5,3.0,8.9,1,0.8
0.7600000000000007,0.6428571428571428,4,5.0,4.0,9.14,1,0.82
0.4400000000000004,0.5,3,4.0,3.5,8.79,1,0.81
0.8600000000000003,0.9285714285714288,5,5.0,5.0,9.35,1,0.92
0.28000000000000025,0.4642857142857144,1,3.0,1.5,7.5,0,0.52
0.7400000000000002,0.6785714285714284,4,4.0,4.5,9.0,1,0.84
0.7200000000000006,0.8571428571428568,3,3.5,4.0,9.14,1,0.81
0.7400000000000002,0.75,4,4.5,4.5,9.11,1,0.89
0.6800000000000006,0.75,4,4.5,4.0,8.79,0,0.76
0.22000000000000064,0.5357142857142856,3,3.5,3.5,8.34,1,0.62
0.34000000000000075,0.3571428571428572,3,3.0,3.0,8.27,0,0.73
0.10000000000000053,0.3214285714285712,2,2.5,2.0,7.86,0,0.69
0.3000000000000007,0.7142857142857144,3,3.0,3.5,8.65,0,0.71
0.0,0.4285714285714284,4,2.0,2.5,7.46,0,0.45
0.16000000000000014,0.0,1,2.0,2.0,7.88,0,0.51
0.6000000000000005,0.3214285714285712,2,2.5,3.0,8.62,0,0.7
1.0,0.75,4,5.0,5.0,9.74,1,0.96
0.6800000000000006,0.7857142857142856,5,5.0,4.5,9.08,1,0.89
0.96,0.8214285714285712,5,4.5,5.0,9.23,1,0.91
0.7800000000000002,0.6785714285714284,4,4.5,4.0,9.01,1,0.81
0.9000000000000004,0.8214285714285712,4,4.5,4.5,9.68,1,0.93
0.4400000000000004,0.3928571428571428,3,5.0,4.0,8.45,0,0.76
0.7200000000000006,0.5714285714285712,3,3.0,3.5,8.89,0,0.8
0.45999999999999996,0.5357142857142856,3,4.0,4.5,8.69,0,0.72
0.40000000000000036,0.5,2,3.5,2.5,8.33,0,0.73
0.7200000000000006,0.7142857142857144,4,4.0,3.5,9.12,1,0.84
0.5200000000000005,0.4285714285714284,3,3.0,3.5,8.0,1,0.72
0.16000000000000014,0.4642857142857144,3,3.5,4.0,8.54,0,0.69
0.40000000000000036,0.5,4,4.5,4.5,9.04,1,0.66
0.8000000000000007,0.75,5,5.0,4.0,9.31,1,0.91
0.7800000000000002,0.7857142857142856,5,4.5,5.0,9.19,1,0.86
0.6400000000000006,0.6071428571428572,5,4.5,3.5,8.8,0,0.76
0.9000000000000004,0.8928571428571423,5,5.0,5.0,9.56,1,0.94
0.22000000000000064,0.4285714285714284,2,3.5,3.5,7.89,1,0.68
0.3000000000000007,0.4642857142857144,2,3.0,2.0,8.23,0,0.67
0.6400000000000006,0.6428571428571428,3,4.0,5.0,8.64,1,0.85
0.2600000000000007,0.2142857142857144,1,2.0,2.5,7.65,0,0.56
0.5600000000000005,0.5357142857142856,3,3.0,3.5,8.27,1,0.74
0.41999999999999993,0.25,1,2.5,3.0,8.43,1,0.71
0.5800000000000001,0.7142857142857144,3,2.5,2.0,8.71,1,0.78
0.4800000000000004,0.5,3,3.0,5.0,8.9,0,0.74
0.4800000000000004,0.5357142857142856,2,2.5,4.0,8.27,0,0.72
0.40000000000000036,0.25,2,1.5,2.0,7.3,0,0.54
0.6400000000000006,0.8214285714285712,5,4.0,4.5,9.36,1,0.92
0.6000000000000005,0.5714285714285712,3,3.5,4.0,8.44,1,0.76
0.96,0.8928571428571423,4,3.5,4.5,9.46,1,0.91
0.6200000000000001,0.6785714285714284,3,3.5,4.0,8.83,1,0.77
0.40000000000000036,0.5357142857142856,3,3.5,3.5,8.67,0,0.76
0.6600000000000001,0.7142857142857144,5,4.0,4.5,8.78,0,0.79
0.4800000000000004,0.5357142857142856,2,2.5,4.0,8.56,0,0.63
0.5200000000000005,0.5,2,2.5,4.0,8.32,0,0.72
0.34000000000000075,0.4642857142857144,2,2.5,3.0,7.65,0,0.58
0.7200000000000006,0.75,5,4.5,4.0,9.4,1,0.91
0.41999999999999993,0.2142857142857144,1,1.0,2.5,7.46,0,0.57
0.7000000000000002,0.7142857142857144,4,3.5,3.5,8.92,0,0.55
0.5800000000000001,0.3928571428571428,4,4.5,3.5,8.66,0,0.76
0.6800000000000006,0.8214285714285712,3,3.5,3.0,8.76,1,0.7
0.54,0.5357142857142856,3,3.5,3.0,8.68,1,0.84
0.14000000000000057,0.2857142857142856,1,1.5,2.0,7.9,0,0.52
0.7600000000000007,0.7142857142857144,4,4.0,4.5,9.1,1,0.78
0.6000000000000005,0.6428571428571428,5,5.0,5.0,9.2,1,0.88
0.10000000000000053,0.03571428571428559,1,2.0,2.0,7.2,0,0.46
0.4400000000000004,0.3214285714285712,2,2.5,3.5,8.04,1,0.68
0.8200000000000003,0.8214285714285712,5,4.0,3.5,9.44,1,0.92
0.6800000000000006,0.6785714285714284,3,2.5,2.0,8.8,1,0.79
0.08000000000000007,0.1071428571428572,1,1.5,1.5,7.64,0,0.49
0.5200000000000005,0.6428571428571428,3,3.5,4.0,8.56,0,0.75
0.28000000000000025,0.2857142857142856,4,1.5,2.5,7.84,0,0.42
0.4400000000000004,0.2857142857142856,2,1.5,3.5,7.9,1,0.56
0.1200000000000001,0.3214285714285712,1,2.5,3.0,7.68,0,0.6
0.8000000000000007,0.7857142857142856,3,4.5,4.5,9.24,1,0.9
0.45999999999999996,0.5,2,2.5,2.0,8.43,0,0.62
0.3799999999999999,0.5714285714285712,3,2.5,3.0,8.12,0,0.72
0.5200000000000005,0.4642857142857144,2,2.5,2.5,8.2,1,0.49
0.6000000000000005,0.4285714285714284,3,3.0,3.5,8.74,1,0.76
0.5,0.25,2,3.5,3.0,7.89,0,0.63
0.6200000000000001,0.7857142857142856,4,4.0,5.0,9.12,0,0.85
0.41999999999999993,0.4642857142857144,2,3.0,2.0,8.12,1,0.73
0.4800000000000004,0.3928571428571428,2,2.0,3.0,8.21,0,0.65
0.3799999999999999,0.25,3,4.0,4.0,8.56,0,0.76
0.4800000000000004,0.4642857142857144,2,2.5,2.0,7.64,0,0.7
0.6400000000000006,0.5357142857142856,3,3.5,3.5,8.46,1,0.71
0.3200000000000003,0.6428571428571428,2,3.5,4.0,8.45,0,0.63
0.7200000000000006,0.6428571428571428,3,3.5,3.5,8.76,1,0.79
0.8600000000000003,0.9642857142857144,5,5.0,4.5,9.78,1,0.96
0.8799999999999999,0.8928571428571423,5,4.0,4.5,9.07,1,0.89
0.8400000000000007,0.9642857142857144,4,5.0,4.5,9.24,1,0.9
0.8000000000000007,0.8571428571428568,5,5.0,4.5,9.36,1,0.93
0.34000000000000075,0.3214285714285712,3,4.0,3.0,8.2,0,0.47
0.9800000000000004,0.9642857142857144,5,4.5,4.0,9.7,0,0.89
0.96,0.9285714285714288,4,3.0,4.5,9.4,1,0.91
0.4800000000000004,0.5357142857142856,3,3.0,3.5,8.17,1,0.73
0.54,0.3928571428571428,3,2.5,3.0,8.54,1,0.73
0.7400000000000002,0.6071428571428572,3,3.5,4.0,8.77,1,0.79
0.16000000000000014,0.2142857142857144,2,1.5,2.5,7.5,1,0.44
0.41999999999999993,0.5357142857142856,4,4.5,4.5,9.0,1,0.78
0.45999999999999996,0.4285714285714284,3,4.0,4.5,8.65,0,0.73
0.7400000000000002,0.5714285714285712,5,5.0,3.5,9.13,1,0.87
0.4800000000000004,0.4285714285714284,4,5.0,5.0,9.02,0,0.82
0.5600000000000005,0.6071428571428572,3,3.0,3.0,8.5,0,0.67
0.40000000000000036,0.3928571428571428,2,2.5,2.5,8.24,0,0.72
0.7200000000000006,0.8571428571428568,2,4.5,3.0,9.08,1,0.8
0.28000000000000025,0.4642857142857144,2,3.0,3.0,8.2,1,0.54
0.4800000000000004,0.6071428571428572,4,3.5,4.0,8.77,1,0.82
0.7200000000000006,0.7142857142857144,3,3.5,3.0,9.1,1,0.84
0.2400000000000002,0.3571428571428572,1,2.0,1.5,8.0,0,0.5
0.7000000000000002,0.6785714285714284,3,3.0,3.5,8.7,0,0.52
0.3799999999999999,0.5,2,2.5,2.5,8.0,0,0.62
0.41999999999999993,0.4285714285714284,3,3.5,2.0,8.2,1,0.61
0.5,0.4642857142857144,3,2.0,2.5,8.34,0,0.7
0.3600000000000003,0.6428571428571428,3,3.5,3.0,8.0,1,0.46
0.6000000000000005,0.4285714285714284,3,3.5,4.5,8.34,1,0.74
0.3000000000000007,0.3571428571428572,2,2.0,2.5,8.18,0,0.62
0.6400000000000006,0.7142857142857144,4,4.5,4.5,9.26,1,0.91
0.28000000000000025,0.3571428571428572,2,3.0,4.0,8.73,0,0.67
0.28000000000000025,0.17857142857142838,2,1.5,2.0,7.64,0,0.47
0.7000000000000002,0.7142857142857144,4,4.0,4.5,9.17,1,0.85
0.40000000000000036,0.3571428571428572,3,3.5,4.0,8.02,1,0.66
0.96,1.0,4,5.0,5.0,9.66,1,0.95
0.54,0.2857142857142856,2,3.0,2.5,8.57,0,0.68
0.45999999999999996,0.3571428571428572,3,3.5,4.0,8.9,1,0.77
0.5200000000000005,0.25,2,2.5,3.0,9.0,0,0.7
0.4800000000000004,0.3571428571428572,2,2.0,2.5,8.24,0,0.64
0.8000000000000007,0.7857142857142856,4,4.5,3.0,9.17,1,0.86
0.6600000000000001,0.5357142857142856,3,3.5,3.5,8.55,1,0.73
0.3600000000000003,0.5714285714285712,4,4.5,5.0,8.34,0,0.77
0.5,0.6428571428571428,2,3.5,3.0,8.46,1,0.72
0.16000000000000014,0.25,1,1.5,3.0,7.46,0,0.53
0.8400000000000007,0.8928571428571423,4,4.5,4.0,9.1,0,0.87
0.6200000000000001,0.6071428571428572,4,4.0,4.0,9.13,1,0.85
0.6800000000000006,0.6785714285714284,5,4.5,4.0,9.16,1,0.9
0.3600000000000003,0.6428571428571428,4,3.5,3.0,8.6,0,0.7
0.8200000000000003,0.9642857142857144,4,5.0,4.5,9.34,1,0.9
0.5200000000000005,0.6428571428571428,3,4.0,4.5,8.78,1,0.69
0.6800000000000006,0.7142857142857144,4,4.0,2.5,8.1,1,0.72
0.6800000000000006,0.5357142857142856,4,4.0,4.5,8.87,1,0.76
0.7400000000000002,0.6785714285714284,4,3.0,4.0,8.4,1,0.78
0.4400000000000004,0.4642857142857144,3,2.0,3.0,8.02,1,0.5
0.10000000000000053,0.25,2,2.5,3.0,7.65,0,0.57
0.8200000000000003,0.7142857142857144,5,4.0,5.0,9.8,1,0.94
0.6800000000000006,0.6785714285714284,3,2.5,1.5,8.79,1,0.7
0.1800000000000006,0.17857142857142838,3,5.0,3.5,7.66,0,0.38
0.6800000000000006,0.5357142857142856,5,3.5,4.0,8.66,1,0.81
0.8799999999999999,0.8571428571428568,4,4.0,3.0,8.0,1,0.78
0.5200000000000005,0.2142857142857144,1,1.5,2.0,7.43,0,0.49
0.7000000000000002,0.6428571428571428,2,3.0,2.5,8.76,1,0.75
0.54,0.3928571428571428,2,2.5,2.0,8.15,0,0.65
0.34000000000000075,0.6071428571428572,3,4.0,3.0,8.0,1,0.62
0.3600000000000003,0.4285714285714284,2,2.5,3.0,8.07,0,0.65
0.4800000000000004,0.5714285714285712,3,4.5,3.5,8.14,0,0.64
0.4400000000000004,0.25,1,1.0,1.5,8.01,1,0.52
0.2400000000000002,0.3571428571428572,3,3.5,5.0,8.33,0,0.65
0.6800000000000006,0.7142857142857144,4,4.0,3.5,8.77,1,0.8
0.54,0.4285714285714284,2,3.0,3.0,8.76,0,0.77
0.8600000000000003,0.75,5,4.0,4.0,9.28,1,0.89
0.6600000000000001,0.6428571428571428,3,4.0,3.5,9.1,1,0.79
0.20000000000000018,0.2857142857142856,3,3.0,3.5,8.26,0,0.62
0.7400000000000002,0.75,4,3.5,3.0,8.69,1,0.8
0.7000000000000002,0.7857142857142856,3,3.5,3.0,9.04,1,0.76
0.6400000000000006,0.6428571428571428,3,3.0,3.5,8.0,0,0.7
0.45999999999999996,0.2142857142857144,3,2.5,4.5,8.3,1,0.76
0.6200000000000001,0.6785714285714284,4,4.0,4.0,8.97,1,0.87
0.6800000000000006,0.7142857142857144,5,5.0,5.0,9.08,1,0.88
0.8000000000000007,0.8571428571428568,4,5.0,4.5,9.45,1,0.91
0.9000000000000004,0.9285714285714288,5,4.5,3.5,9.44,1,0.93
0.41999999999999993,0.25,2,2.5,3.0,7.98,0,0.65
0.20000000000000018,0.25,1,3.0,2.0,6.8,1,0.36
0.6200000000000001,0.6428571428571428,3,3.5,5.0,8.85,1,0.82
0.10000000000000053,0.1428571428571428,2,1.5,2.0,7.34,0,0.47
0.7200000000000006,0.6785714285714284,5,4.5,4.0,9.23,1,0.88
0.5600000000000005,0.2857142857142856,2,2.5,3.5,8.54,1,0.71
0.7000000000000002,0.7857142857142856,4,3.0,2.0,8.4,0,0.7
0.22000000000000064,0.2857142857142856,3,3.5,3.0,8.04,0,0.67
0.5,0.3928571428571428,1,1.5,2.0,7.86,0,0.57
0.7800000000000002,0.75,5,5.0,4.5,9.45,1,0.89
0.6600000000000001,0.6428571428571428,5,4.0,5.0,8.98,1,0.87
0.4400000000000004,0.2142857142857144,1,3.5,3.0,8.18,1,0.64
0.3000000000000007,0.3928571428571428,2,2.5,3.5,8.13,0,0.59
0.6800000000000006,0.2857142857142856,3,4.0,5.0,8.64,1,0.78
0.4400000000000004,0.5714285714285712,3,3.5,3.0,8.53,0,0.69
0.41999999999999993,0.5,2,3.5,3.0,8.26,1,0.79
0.9800000000000004,0.7857142857142856,5,4.0,4.5,9.76,1,0.96
0.8400000000000007,0.8571428571428568,5,5.0,5.0,9.28,1,0.94
0.6200000000000001,0.5357142857142856,2,2.0,1.5,8.44,0,0.81
0.6600000000000001,0.75,3,4.0,4.0,8.88,1,0.79
0.9199999999999999,0.9642857142857144,4,4.5,4.0,9.62,1,0.95
0.54,0.5357142857142856,2,3.5,3.0,8.28,0,0.66
0.7400000000000002,0.75,3,3.5,3.0,8.66,1,0.8
0.8200000000000003,0.8928571428571423,4,4.5,5.0,9.42,1,0.94
0.8799999999999999,0.9642857142857144,5,4.5,4.5,9.48,1,0.94
0.8600000000000003,0.8928571428571423,4,5.0,4.0,9.66,1,0.95
0.4400000000000004,0.5357142857142856,3,3.0,2.0,7.9,1,0.64
0.8200000000000003,0.8214285714285712,5,4.5,3.5,9.36,1,0.93
0.9199999999999999,0.7142857142857144,5,5.0,5.0,9.76,1,0.96
0.7800000000000002,0.6785714285714284,4,4.5,4.5,9.18,1,0.87
0.3200000000000003,0.4642857142857144,2,2.5,3.0,8.22,1,0.72
0.2400000000000002,0.25,1,2.0,2.0,7.25,0,0.57
0.4800000000000004,0.5,2,4.0,3.5,8.25,0,0.62
